initYr,Rstructure,mTrends,compMethod,variable,resType,RMSE,nIndices,peels
1990,diag & unequal,1,individual,sardRec,resid.Naiv,1.4260619088638513,23,10
1990,diag & unequal,1,individual,sardRec,resid.Cont,1.469802620286236,23,10
1990,diag & unequal,1,individual,sardRec,resid.Inf,1.4727266278201954,23,10
1990,diag & unequal,1,individual,sardRec,resid.Proj,1.4727407049857117,23,10
1990,diag & unequal,1,individual,anchRec,resid.Naiv,1.5823782531389474,23,10
1990,diag & unequal,1,individual,anchRec,resid.Cont,1.6003881762122985,23,10
1990,diag & unequal,1,individual,anchRec,resid.Proj,1.6021429925789117,23,10
1990,diag & unequal,1,individual,anchRec,resid.Inf,1.6021561883418243,23,10
1990,diag & unequal,1,peel & variable combined,total,resid.Naiv,1.5103516925970093,23,10
1990,diag & unequal,1,peel & variable combined,total,resid.Cont,1.5399128620084805,23,10
1990,diag & unequal,1,peel & variable combined,total,resid.Proj,1.5422012351419438,23,10
1990,diag & unequal,1,peel & variable combined,total,resid.Inf,1.5422020824821925,23,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Cont,3.0701907964985344,23,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Cont,1.5350953982492672,23,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Inf,3.0748828161620194,23,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Inf,1.5374414080810097,23,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Naiv,3.008440162002799,23,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Naiv,1.5042200810013995,23,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Proj,3.0748836975646237,23,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Proj,1.5374418487823118,23,10
1990,custom R by SDM,1,individual,sardRec,resid.Naiv,1.5548382673107253,23,10
1990,custom R by SDM,1,individual,anchRec,resid.Cont,1.570336226130958,23,10
1990,custom R by SDM,1,individual,anchRec,resid.Inf,1.5753968408076777,23,10
1990,custom R by SDM,1,individual,anchRec,resid.Proj,1.5754523774239944,23,10
1990,custom R by SDM,1,individual,anchRec,resid.Naiv,1.5837164721653816,23,10
1990,custom R by SDM,1,individual,sardRec,resid.Cont,1.6193250109961932,23,10
1990,custom R by SDM,1,individual,sardRec,resid.Inf,1.621017285807738,23,10
1990,custom R by SDM,1,individual,sardRec,resid.Proj,1.6210303203329222,23,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Naiv,1.570103532951083,23,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Cont,1.5937291596512775,23,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Inf,1.597168966249435,23,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Proj,1.5972040641837562,23,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Cont,3.189661237127151,23,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Cont,1.5948306185635754,23,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Inf,3.196414126615416,23,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Inf,1.598207063307708,23,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Naiv,3.138554739476107,23,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Naiv,1.5692773697380535,23,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Proj,3.1964826977569167,23,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Proj,1.5982413488784584,23,10
1990,diag & equal,1,individual,sardRec,resid.Cont,1.37884199583779,23,10
1990,diag & equal,1,individual,sardRec,resid.Naiv,1.4062953290328304,23,10
1990,diag & equal,1,individual,sardRec,resid.Inf,1.4285163944679615,23,10
1990,diag & equal,1,individual,sardRec,resid.Proj,1.432027247272481,23,10
1990,diag & equal,1,individual,anchRec,resid.Cont,1.5045249103568668,23,10
1990,diag & equal,1,individual,anchRec,resid.Inf,1.5184454060923807,23,10
1990,diag & equal,1,individual,anchRec,resid.Proj,1.5187542309454716,23,10
1990,diag & equal,1,individual,anchRec,resid.Naiv,1.5768389184831497,23,10
1990,diag & equal,1,peel & variable combined,total,resid.Cont,1.446352932546236,23,10
1990,diag & equal,1,peel & variable combined,total,resid.Inf,1.4765303624982355,23,10
1990,diag & equal,1,peel & variable combined,total,resid.Proj,1.4783073975705583,23,10
1990,diag & equal,1,peel & variable combined,total,resid.Naiv,1.4984765723642743,23,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Cont,2.8833669061946567,23,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Cont,1.4416834530973284,23,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Inf,2.9469618005603424,23,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Inf,1.4734809002801712,23,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Naiv,2.98313424751598,23,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Naiv,1.49156712375799,23,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Proj,2.9507814782179524,23,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Proj,1.4753907391089762,23,10
1990,diag & unequal,2,individual,sardRec,resid.Cont,1.368834491583433,23,10
1990,diag & unequal,2,individual,sardRec,resid.Proj,1.368912661038137,23,10
1990,diag & unequal,2,individual,sardRec,resid.Inf,1.3689257047294894,23,10
1990,diag & unequal,2,individual,sardRec,resid.Naiv,1.389212161699624,23,10
1990,diag & unequal,2,individual,anchRec,resid.Cont,1.5895031905231838,23,10
1990,diag & unequal,2,individual,anchRec,resid.Inf,1.5968701942410857,23,10
1990,diag & unequal,2,individual,anchRec,resid.Proj,1.596969710477491,23,10
1990,diag & unequal,2,individual,anchRec,resid.Naiv,1.6012614776850154,23,10
1990,diag & unequal,2,peel & variable combined,total,resid.Cont,1.4890578921086504,23,10
1990,diag & unequal,2,peel & variable combined,total,resid.Inf,1.4932402499646935,23,10
1990,diag & unequal,2,peel & variable combined,total,resid.Proj,1.49329059857012,23,10
1990,diag & unequal,2,peel & variable combined,total,resid.Naiv,1.5045470916893593,23,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Cont,2.9583376821066167,23,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Cont,1.4791688410533084,23,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Inf,2.9657958989705753,23,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Inf,1.4828979494852876,23,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Naiv,2.990473639384639,23,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Naiv,1.4952368196923196,23,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Proj,2.9658823715156277,23,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Proj,1.4829411857578139,23,10
1990,custom R by SDM,2,individual,sardRec,resid.Cont,1.3765610597466236,23,10
1990,custom R by SDM,2,individual,sardRec,resid.Proj,1.376800967538653,23,10
1990,custom R by SDM,2,individual,sardRec,resid.Inf,1.376896346252287,23,10
1990,custom R by SDM,2,individual,sardRec,resid.Naiv,1.4535053233161497,23,10
1990,custom R by SDM,2,individual,anchRec,resid.Cont,1.587321240878793,23,10
1990,custom R by SDM,2,individual,anchRec,resid.Inf,1.5961518814593596,23,10
1990,custom R by SDM,2,individual,anchRec,resid.Proj,1.5963291138321685,23,10
1990,custom R by SDM,2,individual,anchRec,resid.Naiv,1.6011746312557071,23,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Cont,1.4912052768843453,23,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Inf,1.4963042228977053,23,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Proj,1.4963621594882828,23,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Naiv,1.5330001806218172,23,10
1990,custom R by SDM,2,peel then variable,totRMSE,resid.Cont,2.9638823006254165,23,10
1990,custom R by SDM,2,peel then variable,meanRMSE,resid.Cont,1.4819411503127082,23,10
1990,custom R by SDM,2,peel then variable,totRMSE,resid.Inf,2.9730482277116463,23,10
1990,custom R by SDM,2,peel then variable,meanRMSE,resid.Inf,1.4865241138558232,23,10
1990,custom R by SDM,2,peel then variable,totRMSE,resid.Naiv,3.054679954571857,23,10
1990,custom R by SDM,2,peel then variable,meanRMSE,resid.Naiv,1.5273399772859284,23,10
1990,custom R by SDM,2,peel then variable,totRMSE,resid.Proj,2.9731300813708215,23,10
1990,custom R by SDM,2,peel then variable,meanRMSE,resid.Proj,1.4865650406854107,23,10
1990,diag & equal,2,individual,sardRec,resid.Cont,1.2868346520280483,23,10
1990,diag & equal,2,individual,sardRec,resid.Inf,1.322004673111925,23,10
1990,diag & equal,2,individual,sardRec,resid.Proj,1.325079389937907,23,10
1990,diag & equal,2,individual,sardRec,resid.Naiv,1.3355473128633701,23,10
1990,diag & equal,2,individual,anchRec,resid.Cont,1.5806306434069104,23,10
1990,diag & equal,2,individual,anchRec,resid.Naiv,1.6321421017745985,23,10
1990,diag & equal,2,individual,anchRec,resid.Proj,1.6371054519461394,23,10
1990,diag & equal,2,individual,anchRec,resid.Inf,1.6420588732572883,23,10
1990,diag & equal,2,peel & variable combined,total,resid.Cont,1.4489092649610742,23,10
1990,diag & equal,2,peel & variable combined,total,resid.Proj,1.4974304502724813,23,10
1990,diag & equal,2,peel & variable combined,total,resid.Naiv,1.4989831294988498,23,10
1990,diag & equal,2,peel & variable combined,total,resid.Inf,1.4989968686810782,23,10
1990,diag & equal,2,peel then variable,totRMSE,resid.Cont,2.8674652954349584,23,10
1990,diag & equal,2,peel then variable,meanRMSE,resid.Cont,1.4337326477174792,23,10
1990,diag & equal,2,peel then variable,totRMSE,resid.Inf,2.9640635463692133,23,10
1990,diag & equal,2,peel then variable,meanRMSE,resid.Inf,1.4820317731846067,23,10
1990,diag & equal,2,peel then variable,totRMSE,resid.Naiv,2.9676894146379684,23,10
1990,diag & equal,2,peel then variable,meanRMSE,resid.Naiv,1.4838447073189842,23,10
1990,diag & equal,2,peel then variable,totRMSE,resid.Proj,2.9621848418840466,23,10
1990,diag & equal,2,peel then variable,meanRMSE,resid.Proj,1.4810924209420233,23,10
1990,diag & unequal,3,individual,sardRec,resid.Inf,1.361819282122997,23,10
1990,diag & unequal,3,individual,sardRec,resid.Proj,1.3618822099621106,23,10
1990,diag & unequal,3,individual,sardRec,resid.Cont,1.3631358963856788,23,10
1990,diag & unequal,3,individual,sardRec,resid.Naiv,1.383433480930247,23,10
1990,diag & unequal,3,individual,anchRec,resid.Naiv,1.4606950174578959,23,10
1990,diag & unequal,3,individual,anchRec,resid.Cont,1.4725114460048394,23,10
1990,diag & unequal,3,individual,anchRec,resid.Inf,1.4851232000226857,23,10
1990,diag & unequal,3,individual,anchRec,resid.Proj,1.485221927227564,23,10
1990,diag & unequal,3,peel & variable combined,total,resid.Cont,1.4217512335938922,23,10
