initYr,Rstructure,mTrends,compMethod,variable,resType,RMSE,nIndices,peels
1990,diag & unequal,1,individual,sardRec,resid.Cont,1.4014546230117169,37,10
1990,diag & unequal,1,individual,sardRec,resid.Naiv,1.4087615840743413,37,10
1990,diag & unequal,1,individual,sardRec,resid.Inf,1.4181188932697313,37,10
1990,diag & unequal,1,individual,sardRec,resid.Proj,1.4184126543035447,37,10
1990,diag & unequal,1,individual,anchRec,resid.Cont,1.5267735731150927,37,10
1990,diag & unequal,1,individual,anchRec,resid.Inf,1.528464474749817,37,10
1990,diag & unequal,1,individual,anchRec,resid.Proj,1.5284845120658306,37,10
1990,diag & unequal,1,individual,anchRec,resid.Naiv,1.5677481984885964,37,10
1990,diag & unequal,1,peel & variable combined,total,resid.Cont,1.4687454542617133,37,10
1990,diag & unequal,1,peel & variable combined,total,resid.Inf,1.4772233424260504,37,10
1990,diag & unequal,1,peel & variable combined,total,resid.Proj,1.4773678435373723,37,10
1990,diag & unequal,1,peel & variable combined,total,resid.Naiv,1.4945484610395001,37,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Cont,2.9282281961268097,37,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Cont,1.4641140980634049,37,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Inf,2.9465833680195486,37,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Inf,1.4732916840097743,37,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Naiv,2.9765097825629376,37,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Naiv,1.4882548912814688,37,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Proj,2.946897166369375,37,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Proj,1.4734485831846875,37,10
1990,custom R by SDM,1,individual,sardRec,resid.Cont,1.3178609764151017,37,10
1990,custom R by SDM,1,individual,sardRec,resid.Naiv,1.338400279816004,37,10
1990,custom R by SDM,1,individual,sardRec,resid.Inf,1.34888606277734,37,10
1990,custom R by SDM,1,individual,sardRec,resid.Proj,1.3497139588602258,37,10
1990,custom R by SDM,1,individual,anchRec,resid.Cont,1.555383486666399,37,10
1990,custom R by SDM,1,individual,anchRec,resid.Inf,1.557212249329789,37,10
1990,custom R by SDM,1,individual,anchRec,resid.Proj,1.5572470694298193,37,10
1990,custom R by SDM,1,individual,anchRec,resid.Naiv,1.5852167398326273,37,10
