initYr,Rstructure,mTrends,compMethod,variable,resType,RMSE,nIndices,peels
1990,diag & unequal,1,individual,sardRec,resid.Cont,1.3965351922491156,43,10
1990,diag & unequal,1,individual,sardRec,resid.Naiv,1.4131881682432257,43,10
1990,diag & unequal,1,individual,sardRec,resid.Inf,1.4136289877021804,43,10
1990,diag & unequal,1,individual,sardRec,resid.Proj,1.4139615850480451,43,10
1990,diag & unequal,1,individual,anchRec,resid.Proj,1.5406113828405914,43,10
1990,diag & unequal,1,individual,anchRec,resid.Inf,1.5406544405320926,43,10
1990,diag & unequal,1,individual,anchRec,resid.Cont,1.5406948061001824,43,10
1990,diag & unequal,1,individual,anchRec,resid.Naiv,1.5782724670878485,43,10
1990,diag & unequal,1,peel & variable combined,total,resid.Cont,1.474167021604748,43,10
1990,diag & unequal,1,peel & variable combined,total,resid.Inf,1.4818424393330076,43,10
1990,diag & unequal,1,peel & variable combined,total,resid.Proj,1.481969184374987,43,10
1990,diag & unequal,1,peel & variable combined,total,resid.Naiv,1.5023375994804236,43,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Cont,2.9372299983492978,43,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Cont,1.4686149991746489,43,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Inf,2.954283428234273,43,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Inf,1.4771417141171366,43,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Naiv,2.991460635331074,43,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Naiv,1.495730317665537,43,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Proj,2.9545729678886365,43,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Proj,1.4772864839443183,43,10
1990,custom R by SDM,1,individual,sardRec,resid.Naiv,1.3507025455466837,43,10
1990,custom R by SDM,1,individual,sardRec,resid.Cont,1.3676553275040817,43,10
1990,custom R by SDM,1,individual,sardRec,resid.Inf,1.3845175954635527,43,10
1990,custom R by SDM,1,individual,sardRec,resid.Proj,1.3850474735606246,43,10
1990,custom R by SDM,1,individual,anchRec,resid.Cont,1.5408572319671079,43,10
1990,custom R by SDM,1,individual,anchRec,resid.Inf,1.5448555580647512,43,10
1990,custom R by SDM,1,individual,anchRec,resid.Proj,1.5449166626420963,43,10
1990,custom R by SDM,1,individual,anchRec,resid.Naiv,1.6189577425789705,43,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Cont,1.4613753425906355,43,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Inf,1.4710860238571533,43,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Proj,1.4713560426612902,43,10
1990,custom R by SDM,1,peel & variable combined,total,resid.Naiv,1.4978900602879721,43,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Cont,2.9085125594711894,43,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Cont,1.4542562797355947,43,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Inf,2.929373153528304,43,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Inf,1.464686576764152,43,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Naiv,2.969660288125654,43,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Naiv,1.484830144062827,43,10
1990,custom R by SDM,1,peel then variable,totRMSE,resid.Proj,2.929964136202721,43,10
1990,custom R by SDM,1,peel then variable,meanRMSE,resid.Proj,1.4649820681013606,43,10
1990,diag & equal,1,individual,sardRec,resid.Cont,1.362430879416888,43,10
1990,diag & equal,1,individual,sardRec,resid.Inf,1.39198324929038,43,10
1990,diag & equal,1,individual,sardRec,resid.Proj,1.3934549270513152,43,10
1990,diag & equal,1,individual,sardRec,resid.Naiv,1.4062614057712859,43,10
1990,diag & equal,1,individual,anchRec,resid.Cont,1.494860815660526,43,10
1990,diag & equal,1,individual,anchRec,resid.Inf,1.5017812820250063,43,10
1990,diag & equal,1,individual,anchRec,resid.Proj,1.5018295893118838,43,10
1990,diag & equal,1,individual,anchRec,resid.Naiv,1.5447949589155874,43,10
1990,diag & equal,1,peel & variable combined,total,resid.Cont,1.4336565266675096,43,10
1990,diag & equal,1,peel & variable combined,total,resid.Inf,1.4508078781574687,43,10
1990,diag & equal,1,peel & variable combined,total,resid.Proj,1.4515032290849972,43,10
1990,diag & equal,1,peel & variable combined,total,resid.Naiv,1.4807902392973298,43,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Cont,2.8572916950774143,43,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Cont,1.4286458475387072,43,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Inf,2.8937645313153864,43,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Inf,1.4468822656576932,43,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Naiv,2.951056364686873,43,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Naiv,1.4755281823434365,43,10
1990,diag & equal,1,peel then variable,totRMSE,resid.Proj,2.895284516363199,43,10
1990,diag & equal,1,peel then variable,meanRMSE,resid.Proj,1.4476422581815995,43,10
1990,diag & unequal,2,individual,sardRec,resid.Naiv,1.355505402005897,43,10
1990,diag & unequal,2,individual,sardRec,resid.Cont,1.4080676932034264,43,10
1990,diag & unequal,2,individual,sardRec,resid.Inf,1.4167953112342424,43,10
1990,diag & unequal,2,individual,sardRec,resid.Proj,1.4172045336936907,43,10
1990,diag & unequal,2,individual,anchRec,resid.Cont,1.5993733197174695,43,10
1990,diag & unequal,2,individual,anchRec,resid.Proj,1.6081288645229188,43,10
1990,diag & unequal,2,individual,anchRec,resid.Inf,1.6081360239257898,43,10
1990,diag & unequal,2,individual,anchRec,resid.Naiv,1.6302829439899282,43,10
1990,diag & unequal,2,peel & variable combined,total,resid.Naiv,1.5063860347559825,43,10
1990,diag & unequal,2,peel & variable combined,total,resid.Cont,1.5117755649362798,43,10
1990,diag & unequal,2,peel & variable combined,total,resid.Inf,1.5205053747788575,43,10
1990,diag & unequal,2,peel & variable combined,total,resid.Proj,1.520682026038512,43,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Cont,3.007441012920896,43,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Cont,1.503720506460448,43,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Inf,3.024931335160032,43,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Inf,1.512465667580016,43,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Naiv,2.985788345995825,43,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Naiv,1.4928941729979126,43,10
1990,diag & unequal,2,peel then variable,totRMSE,resid.Proj,3.0253333982166097,43,10
1990,diag & unequal,2,peel then variable,meanRMSE,resid.Proj,1.5126666991083049,43,10
1990,custom R by SDM,2,individual,sardRec,resid.Naiv,1.3767710175775252,43,10
1990,custom R by SDM,2,individual,sardRec,resid.Cont,1.4055196612131635,43,10
1990,custom R by SDM,2,individual,sardRec,resid.Inf,1.4163520480718046,43,10
1990,custom R by SDM,2,individual,sardRec,resid.Proj,1.4170686966407409,43,10
1990,custom R by SDM,2,individual,anchRec,resid.Cont,1.5815225104273825,43,10
1990,custom R by SDM,2,individual,anchRec,resid.Naiv,1.5934983607012638,43,10
1990,custom R by SDM,2,individual,anchRec,resid.Proj,1.5964711224986092,43,10
1990,custom R by SDM,2,individual,anchRec,resid.Inf,1.5965634546878908,43,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Naiv,1.4947602548331644,43,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Cont,1.500727966730185,43,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Inf,1.5138766334557692,43,10
1990,custom R by SDM,2,peel & variable combined,total,resid.Proj,1.5141430383086332,43,10
1990,custom R by SDM,2,peel then variable,totRMSE,resid.Cont,2.987042171640546,43,10
1990,custom R by SDM,2,peel then variable,meanRMSE,resid.Cont,1.493521085820273,43,10
